time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-03-05T12:16:37.130Z,36.4742,-97.7552,4.9,2.6,mb_lg,,47,0.492,0.22,us,us2000dced,2018-03-05T19:19:13.242Z,"14km NE of Enid, Oklahoma",earthquake,1.5,4.8,0.102,25,reviewed,us,us
2018-03-05T12:11:31.920Z,34.8345,-86.2408333,4.52,1.79,md,6,155,0.4573,0.13,se,se60053323,2018-03-05T18:43:02.830Z,"19km ESE of New Market, Alabama",earthquake,2.7,10.53,0.036,5,reviewed,se,se
2018-03-05T11:47:15.400Z,-6.5249,143.1115,24.74,4.7,mb,,77,4.925,0.85,us,us2000dce4,2018-03-05T12:09:02.040Z,"71km WSW of Mendi, Papua New Guinea",earthquake,9.5,6.1,0.085,42,reviewed,us,us
2018-03-05T11:43:59.240Z,33.5413333,-116.4095,9.47,0.46,ml,18,105,0.02243,0.12,ci,ci37888447,2018-03-05T14:15:51.059Z,"16km SW of La Quinta, CA",earthquake,0.26,0.58,0.413,7,reviewed,ci,ci
2018-03-05T11:41:36.671Z,37.0161,-116.3633,9.6,0.3,ml,20,73.43,0.04,0.1865,nn,nn00624276,2018-03-05T16:19:15.413Z,"37km ENE of Beatty, Nevada",earthquake,,1.3,0.55,12,reviewed,nn,nn
2018-03-05T11:35:55.570Z,16.8098,-85.8838,37.13,4.6,mb,,78,2.807,1.25,us,us2000dcdu,2018-03-05T17:30:40.418Z,"39km N of Savannah Bight, Honduras",earthquake,4.2,7,0.056,94,reviewed,us,us
2018-03-05T11:32:52.315Z,64.5729,-151.3118,7.4,1.1,ml,,,,0.69,ak,ak18588974,2018-03-05T11:41:58.817Z,"57km SW of Manley Hot Springs, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-03-05T11:22:29.630Z,-15.5735,-172.6936,83.05,4.9,mb,,104,1.877,0.8,us,us2000dcdp,2018-03-05T11:40:02.040Z,"120km ENE of Hihifo, Tonga",earthquake,8.9,9.2,0.136,17,reviewed,us,us
2018-03-05T11:18:06.774Z,62.1487,-152.0767,102.5,1.7,ml,,,,0.46,ak,ak18588966,2018-03-05T11:24:32.669Z,"104km W of Talkeetna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-03-05T11:08:13.367Z,58.2834,-155.0457,1.8,0.1,ml,,,,0.25,ak,ak18588965,2018-03-05T18:18:18.956Z,"104km ESE of King Salmon, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2018-03-05T11:00:03.990Z,29.7776,142.1691,10,4.9,mb,,117,2.672,0.7,us,us2000dcdj,2018-03-05T11:20:01.040Z,"298km N of Chichi-shima, Japan",earthquake,8.6,1.8,0.05,126,reviewed,us,us
2018-03-05T10:57:29.277Z,38.3566,-118.3174,8.4,0.2,ml,5,175.49,0.048,0.0799,nn,nn00624275,2018-03-05T16:31:38.939Z,"32km SE of Hawthorne, Nevada",earthquake,,4.9,0,1,reviewed,nn,nn
2018-03-05T10:39:24.550Z,35.7621667,-118.474,2.03,1.21,ml,18,163,0.07212,0.13,ci,ci37888439,2018-03-05T14:16:09.058Z,"4km W of Kernville, CA",earthquake,0.34,0.52,0.15,17,reviewed,ci,ci
2018-03-05T10:36:13.550Z,33.4868333,-116.7908333,4.6,0.48,ml,15,117,0.09022,0.13,ci,ci37888431,2018-03-05T14:16:08.059Z,"8km NE of Aguanga, CA",earthquake,0.28,0.54,0.129,14,reviewed,ci,ci
2018-03-05T10:33:08.500Z,34.1533333,-116.4228333,4.74,0.65,ml,9,85,0.08815,0.14,ci,ci37888423,2018-03-05T14:16:36.818Z,"4km N of Yucca Valley, CA",earthquake,0.35,0.76,0.078,7,reviewed,ci,ci
2018-03-05T10:28:24.340Z,33.4865,-116.4551667,7.57,0.6,ml,16,145,0.04428,0.14,ci,ci37888415,2018-03-05T14:16:38.937Z,"22km ESE of Anza, CA",earthquake,0.36,0.84,0.207,14,reviewed,ci,ci
2018-03-05T10:25:10.136Z,63.2191,-151.0151,0,1.7,ml,,,,0.73,ak,ak18588553,2018-03-05T10:41:27.836Z,"105km W of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-03-05T10:15:40.820Z,33.4926667,-116.779,4.7,0.45,ml,19,56,0.08047,0.19,ci,ci37888407,2018-03-05T14:16:56.063Z,"10km NE of Aguanga, CA",earthquake,0.32,0.69,0.107,13,reviewed,ci,ci
2018-03-05T10:13:07.915Z,60.1422,-140.9934,11.3,1.2,ml,,,,0.27,ak,ak18588550,2018-03-05T10:20:09.866Z,"80km E of Cape Yakataga, Alaska",earthquake,,0.4,,,automatic,ak,ak
